objectid,wd17cd,wd17nm,wd17nmw,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
1325,E05001522,South Bank, ,453808,519916,-1.16921997,54.57162094,5118007.16889528,11443.790841997
1326,E05001523,Teesville, ,455471,519046,-1.14365995,54.56362152,1476088.40712907,7616.4233129907
1327,E05001524,West Dyke, ,461217,523436,-1.0539,54.60240936,2274872.7678015,7891.02466649768
1328,E05001525,Westworth, ,463273,514498,-1.02400005,54.52183914,21382584.6492547,27060.3724159357
1329,E05001526,Zetland, ,461574,524219,-1.04821002,54.6094017,964012.75870284,5305.17816059918
1330,E05001527,Billingham Central, ,445916,524003,-1.29064,54.60911942,1575830.90893853,6286.23382524219
1331,E05001528,Billingham East, ,448446,524530,-1.25138998,54.61362076,9457655.57750276,17898.1433287647
1332,E05001529,Billingham North, ,446269,525395,-1.28496003,54.62158966,1831494.08942663,6812.46448169042
1333,E05001530,Billingham South, ,450829,523138,-1.21474004,54.60087967,23780690.2850784,39722.0591839421
1334,E05001531,Billingham West, ,444787,523931,-1.30813003,54.6085701,2544960.65311967,9737.645550449
1335,E05001532,Bishopsgarth and Elm Tree, ,441016,520624,-1.36696994,54.57917023,2965149.10985464,11402.4737452279
1336,E05001533,Eaglescliffe, ,440243,513413,-1.37990999,54.51443863,23517866.4735346,32586.6965711391
1337,E05001534,Fairfield, ,441412,519623,-1.36099005,54.57014847,1324904.76609002,6682.97384332796
1338,E05001535,Grangefield, ,442641,518887,-1.34208,54.56343079,1916390.79094852,7883.33075767084
1339,E05001536,Hardwick and Salters Lane, ,441871,521300,-1.35364997,54.58517838,2046804.26124147,6593.97406043946
1340,E05001537,Hartburn, ,441159,518412,-1.36506999,54.55929184,4006597.45572957,11846.1951530587
1341,E05001538,Ingleby Barwick East, ,447257,513062,-1.27163994,54.51068115,13819589.4049303,25644.9704989215
1342,E05001539,Ingleby Barwick West, ,443975,513463,-1.32226002,54.51457977,4065019.75668555,12132.0358214446
1343,E05001540,Mandale and Victoria, ,445935,517809,-1.29131997,54.55345917,4680517.19173688,9892.48338411836
1344,E05001541,Newtown, ,443616,520378,-1.32678998,54.57675171,1844156.76133294,7892.29236499513
1345,E05001542,Northern Parishes, ,441261,525112,-1.36255002,54.61948013,27415568.5965279,29057.3734397408
1346,E05001543,Norton North, ,444445,521717,-1.31376004,54.58871078,1598154.97604171,5914.26813056656
1347,E05001544,Norton South, ,445212,520750,-1.30203998,54.57994843,2577977.79330003,9975.31501675407
1348,E05001545,Norton West, ,443539,522330,-1.32769001,54.59429169,2186480.64858705,7568.73810663098
1349,E05001546,Parkfield and Oxbridge, ,443808,517072,-1.32430995,54.54701996,4526179.7237085,13450.9022559204
1350,E05001547,Roseworth, ,442671,521775,-1.34119999,54.58937836,1654691.72863911,5858.48853271104
1351,E05001548,Stainsby Hill, ,446141,514956,-1.28857994,54.52780151,3016674.34904436,11185.3661940851
1352,E05001549,Stockton Town Centre, ,445245,519176,-1.30176997,54.56579971,4165833.3414299,11195.8991494345
1353,E05001550,Village, ,445084,516009,-1.30474997,54.53736115,2288725.18832683,10801.0374465109
1354,E05001551,Western Parishes, ,438703,518998,-1.40296996,54.56473923,37961107.1407497,43191.7145397273
1355,E05001552,Yarm, ,443195,510519,-1.33474004,54.4881897,18193212.1107737,26265.9761631734
1356,E05001577,Appleton, ,351845,386375,-2.72522998,53.37203979,1620752.29811312,6347.43970485951
1357,E05001578,Beechwood, ,353691,379915,-2.69654012,53.31414032,1345575.96610369,6297.19629619802
1358,E05001579,Birchfield, ,350493,387541,-2.74572992,53.38240051,1828592.81338303,6073.64313956613
1359,E05001580,Broadheath, ,349507,386285,-2.76034999,53.37100983,1177981.79478896,5782.14264632883
1360,E05001581,Halton Castle, ,353607,383166,-2.6982801,53.3433609,4574752.05298971,12361.9908033347
1361,E05001582,Daresbury, ,357279,382266,-2.6430099,53.33557892,19427845.5707149,29614.7428395045
1362,E05001583,Ditton, ,347694,384405,-2.7872901,53.35393906,7146310.4589967,14939.8860912819
1363,E05001584,Farnworth, ,351536,388457,-2.73019004,53.39072037,4848188.60001391,12594.5979428071
1364,E05001585,Grange, ,352402,381657,-2.71615005,53.32968903,1418999.81150838,6066.87060975216
1365,E05001586,Hale, ,346361,382362,-2.80696011,53.33544159,5790320.13593541,12834.4337817748
1366,E05001587,Halton Brook, ,352540,382323,-2.71417999,53.3356781,1428932.95718359,4767.63750690882
1367,E05001588,Halton Lea, ,353746,380957,-2.69586992,53.32350922,2112386.56722941,7254.91835921709
1368,E05001589,Halton View, ,353099,386326,-2.70637989,53.37171173,3335506.49539725,8651.5012080077
1369,E05001590,Heath, ,350973,380776,-2.73746991,53.32164001,7166134.64378722,15493.4595571662
1370,E05001591,Hough Green, ,348981,387048,-2.76837993,53.37781906,1342846.25370529,5082.29713469227
1371,E05001592,Kingsway, ,350744,386131,-2.74173999,53.36975098,2051016.48009119,6719.27282494897
1372,E05001593,Mersey, ,350698,382426,-2.7418499,53.33644104,2619539.11281506,9471.30403419884
1373,E05001594,Norton North, ,355278,381574,-2.67296004,53.3291893,2492398.26480615,10994.7449877274
1374,E05001595,Norton South, ,355110,380474,-2.67531991,53.31929016,1705243.07573061,6445.45473716546
1375,E05001596,Riverside, ,351105,384820,-2.73610997,53.35800171,4493042.94303598,11607.761649842
1376,E05001597,Windmill Hill, ,355046,382532,-2.67657995,53.33778,1157667.42901912,5099.6019963949
1377,E05001620,Audley, ,369618,428253,-2.46219993,53.74975967,1591956.64204884,6535.16191056704
1378,E05001621,Bastwell, ,368630,429286,-2.47728992,53.75899124,740514.006617905,3972.59835918736
1379,E05001622,Beardwood with Lammack, ,366509,429518,-2.50948,53.76094055,4756854.45160572,12851.1217163342
1380,E05001623,Corporation Park, ,367113,428717,-2.50023007,53.75378036,1177457.01159604,6100.17899944405
1381,E05001624,Earcroft, ,368063,423746,-2.48531008,53.70915985,2429546.79445678,6998.22124011214
1382,E05001625,East Rural, ,371260,423773,-2.43688011,53.70959091,11308666.5490783,17980.6286183853
1383,E05001626,Ewood, ,367629,426446,-2.4921701,53.73339844,1335166.6122667,9403.73355392645
1384,E05001627,Fernhurst, ,368098,425097,-2.48492002,53.72130966,2524622.7598042,7809.35875200739
1385,E05001628,Higher Croft, ,368977,425962,-2.47168994,53.72914124,2250101.20980721,8183.24429932478
1386,E05001629,Little Harwood, ,369611,429859,-2.46246004,53.7641983,3158936.30386527,8631.3326887505
1387,E05001630,Livesey with Pleasington, ,364879,426792,-2.53389001,53.73632813,11232819.5960565,17666.8211296892
1388,E05001631,Marsh House, ,370734,421065,-2.44459009,53.68521881,3828298.08538898,11074.4436317308
1389,E05001632,Meadowhead, ,366394,425624,-2.51079988,53.7259407,1666124.98686237,7362.58994537213
1390,E05001633,Mill Hill, ,366993,426847,-2.50184989,53.73696899,1316935.96887379,5330.06674592925
1391,E05001634,North Turton with Tockholes, ,373110,418912,-2.4084301,53.66600037,63005335.2790908,58630.8613611124
1392,E05001635,Queen's Park, ,370267,426184,-2.45215988,53.7312088,3771521.16751448,13761.3232424133
1393,E05001636,Roe Lee, ,368077,430535,-2.48580003,53.77017975,2526044.16143351,9922.06187953836
1394,E05001637,Shadsworth with Whitebirk, ,370516,427579,-2.44851995,53.74375916,2138678.0958289,7748.39290781202
1395,E05001638,Shear Brow, ,368283,428273,-2.48243999,53.74985886,1261261.00609008,5762.54625567364
1396,E05001639,Sudell, ,369608,422904,-2.46181989,53.70169067,1751068.30951985,6339.01057510287
1397,E05001640,Sunnyhurst, ,368234,421806,-2.4825201,53.69173813,4165819.27451168,10321.4751915783
1398,E05001641,Wensley Fold, ,367340,427843,-2.49670005,53.74594116,1419832.2779262,5844.73952745196
1399,E05001642,Whitehall, ,368954,419856,-2.47142005,53.67425919,7664517.50292853,12658.0898274297
1400,E05001643,Anchorsholme, ,332070,442071,-3.03456998,53.87039185,1337020.24346687,6716.7121378309
1401,E05001644,Bispham, ,331142,439612,-3.04813004,53.84817123,1546026.07105317,6170.81896142626
1402,E05001645,Bloomfield, ,330993,434863,-3.04933,53.80546951,1155172.70252198,5091.60534060332
1403,E05001646,Brunswick, ,331850,436573,-3.03669,53.82094955,844420.257060505,4469.10574736061
1404,E05001647,Claremont, ,331163,437071,-3.04724002,53.82534027,1137877.77323105,5410.81755531112
1405,E05001648,Clifton, ,333706,434088,-3.00797009,53.79885864,2261625.75610137,7706.23873639268
1406,E05001649,Greenlands, ,332151,438662,-3.0325799,53.83977127,2051149.4314861,7156.0021718775
1407,E05001650,Hawes Side, ,332344,433979,-3.02862,53.79771042,999565.905240385,6039.88544661862
1408,E05001651,Highfield, ,331913,432760,-3.03488994,53.7867012,1026780.93120169,4919.81061262825
1409,E05001652,Ingthorpe, ,332435,440187,-3.02859998,53.85351181,1941135.81091096,6849.24321997222
1410,E05001653,Layton, ,332388,437434,-3.02870989,53.82875824,1313583.12979582,5346.40117874429
1411,E05001654,Marton, ,333481,435093,-3.01160002,53.80786896,4300902.25242876,12058.1206134242
1412,E05001655,Norbreck, ,331918,441252,-3.03670001,53.86301041,1834906.94039655,6683.99404834024
1413,E05001656,Park, ,333487,436737,-3.01186991,53.82263947,2367178.15308214,10786.436103653
1414,E05001657,Squires Gate, ,330934,432256,-3.04963994,53.78203964,1060128.46713556,4469.28850102956
1415,E05001658,Stanley, ,333237,432439,-3.01472998,53.78398132,3968357.95903806,10097.0796469271
1416,E05001659,Talbot, ,331171,436124,-3.04691005,53.81682968,1176451.43759153,5464.93105839527
1417,E05001660,Tyldesley, ,331881,435230,-3.03592992,53.8088913,916169.988753425,5051.33271572664
1418,E05001661,Victoria, ,331622,434234,-3.03963995,53.79990005,1026497.34184973,5149.07068582418
1419,E05001662,Warbreck, ,331075,438228,-3.04884005,53.83572006,1128211.9751874,6739.20437179726
1420,E05001663,Waterloo, ,330968,433484,-3.04940009,53.79307938,1458343.43241878,6275.14256831211
1421,E05001664,Avenue, ,507808,429923,-0.36638999,53.75453949,2136263.84817872,6840.92034328726
1422,E05001665,Beverley, ,508803,432262,-0.35047999,53.77534866,2343650.31781277,10152.4993685826
1423,E05001666,Boothferry, ,505767,429034,-0.39763001,53.74697113,2253009.48845859,7876.28088240146
1424,E05001667,Bransholme East, ,511006,435068,-0.31606001,53.80009842,4266714.25688762,9419.54989550179
1425,E05001668,Bransholme West, ,510464,433784,-0.32473999,53.78868103,1855750.84094721,7163.98590225503
1426,E05001669,Bricknell, ,506789,430619,-0.38159001,53.76100922,2761062.22237041,7369.15569727156
1427,E05001670,Derringham, ,505179,430323,-0.40610999,53.75867081,2045776.84235853,6602.96985580144
1428,E05001671,Drypool, ,510801,429728,-0.32108,53.75217056,4021595.46452958,10123.3603060644
1429,E05001672,Holderness, ,511332,431683,-0.31233001,53.76961899,4460302.54999425,10688.5079858975
1430,E05001673,Ings, ,513038,432474,-0.28617001,53.77635956,3470011.35843751,8499.67043636764
1431,E05001674,Kings Park, ,508975,434519,-0.34707999,53.79558945,4540372.43661377,11465.7929780584
1432,E05001675,Longhill, ,514421,432411,-0.26521999,53.77548981,2472694.0400271,8810.09111660556
1433,E05001676,Marfleet, ,514411,429729,-0.26636001,53.75139999,8567937.40004002,16185.2208722175
1434,E05001677,Myton, ,509039,428924,-0.34808001,53.74531174,4659140.03525166,10467.9673530782
1435,E05001678,Newington, ,506984,428795,-0.37926999,53.74457932,2344815.92803915,7555.86250736793
1436,E05001679,Newland, ,509014,430852,-0.34777999,53.76264191,2008613.75128259,7281.67593297623
1437,E05001680,Orchard Park and Greenwood, ,507136,433186,-0.37544,53.7840004,2408729.26603474,8572.03413625418
1438,E05001681,Pickering, ,505475,427152,-0.40270001,53.73012161,3886897.15247702,8833.04299672077
1439,E05001682,St Andrew's, ,507748,427498,-0.36814001,53.73276901,2822716.78202661,8342.68234494702
1440,E05001683,Southcoates East, ,513143,430528,-0.28529,53.7588501,1957124.73826522,5784.91434472721
1441,E05001684,Southcoates West, ,512083,430210,-0.30148,53.75622177,899075.917745775,4114.83866642477
1442,E05001685,Sutton, ,511900,433343,-0.30311999,53.78440857,2809833.5334708,11862.6765897174
1443,E05001686,University, ,507374,432237,-0.37215999,53.77542114,2457716.41092161,7367.25640908721
1444,E05001687,Beverley Rural, ,497676,442696,-0.51595002,53.87129974,216473712.399305,122737.533468532
1445,E05001688,Bridlington Central and Old Town, ,515801,470111,-0.23001,54.11386108,49831933.6825251,44339.4523651676
1446,E05001689,Bridlington North, ,523055,470106,-0.11911,54.11212921,21774601.7954655,33039.1392661669
1447,E05001690,Bridlington South, ,516566,466204,-0.21981999,54.07859039,8254527.01417261,15238.5095644588
1448,E05001691,Cottingham North, ,504715,434041,-0.41187999,53.79217148,9936128.36167268,20777.0882507212
1449,E05001692,Cottingham South, ,504330,432137,-0.41837001,53.77513885,4866995.21533841,13818.1891988127
1450,E05001693,Dale, ,495978,431031,-0.54540002,53.76681137,89817842.7507565,65435.3711818096
1451,E05001694,Driffield and Rural, ,496495,458595,-0.52889001,54.01436996,139638563.416962,77170.9113979965
1452,E05001695,East Wolds and Coastal, ,508004,461490,-0.35229999,54.0381012,382188250.968151,135874.680321181
1453,E05001696,Goole North, ,475188,425184,-0.86214,53.71768188,4601567.60800564,11481.7916580593
1454,E05001697,Goole South, ,473868,423532,-0.88252997,53.70301819,5563450.54672525,21190.8922325353
1455,E05001698,Hessle, ,502860,426490,-0.44253999,53.72470093,5721479.38938165,11320.5336150559
1456,E05001699,Howden, ,470085,428595,-0.93867999,53.7490387,21851479.1231306,29745.2276267503
1457,E05001700,Howdenshire, ,480973,432100,-0.77270001,53.77896118,261954959.380823,110860.556739596
1458,E05001701,Mid Holderness, ,519558,436299,-0.18581,53.80926132,218327059.599408,90865.0897003187
1459,E05001702,Minster and Woodmansey, ,505141,438406,-0.40393001,53.83129883,20941382.9425403,25670.9808340261
1460,E05001703,North Holderness, ,517267,447286,-0.21639,53.90848923,66122419.0739119,49078.118006065
1461,E05001704,Pocklington Provincial, ,473330,450437,-0.88428003,53.94487,65485998.9777988,58993.2095153177
1462,E05001705,St Mary's, ,502373,440156,-0.44538999,53.84757996,10206390.6647174,17089.2363546956
1463,E05001706,"Snaith, Airmyn, Rawcliffe and Marshland", ,474773,419814,-0.86971998,53.66947937,129769131.037388,102562.260240101
1464,E05001707,South East Holderness, ,530169,422695,-0.03048,53.68452072,190099902.905778,91838.1780865289
1465,E05001708,South Hunsley, ,498402,427551,-0.50974,53.73508835,27820951.3401512,24257.060337434
1466,E05001709,South West Holderness, ,520084,425811,-0.18189999,53.71492004,54055973.4612267,50800.4509070216
1467,E05001710,Tranby, ,503460,428424,-0.43279999,53.74195099,5137454.54770704,13401.179566184
1468,E05001711,Willerby and Kirk Ella, ,502262,429733,-0.45052999,53.75394821,10433978.3025683,16588.6256724381
1469,E05001712,Wolds Weighton, ,482441,450040,-0.74561,53.93992996,385615053.287262,159885.577510963
1470,E05001713,Croft Baker, ,530075,408174,-0.03796,53.55410004,2141170.85616761,6465.74060246435
1471,E05001714,East Marsh, ,528183,410098,-0.06572,53.57184982,2690250.91190328,7457.44548416309
1472,E05001715,Freshney, ,524465,410290,-0.12175,53.57447052,4927640.54411446,12656.3067001698
1473,E05001716,Haverstoe, ,530832,407144,-0.02697,53.54465866,4769559.38916942,10285.0474618397
1474,E05001717,Heneage, ,528487,407940,-0.06201,53.55239105,3699716.02765724,10836.8586309046
1475,E05001718,Humberston and New Waltham, ,530301,405692,-0.03559,53.53174973,14846155.6543099,22316.2238254599
1476,E05001719,Immingham, ,518808,413302,-0.206,53.60284042,41582142.5755773,33392.2556983746
1477,E05001720,Park, ,526676,407817,-0.08938,53.55173111,4035868.53862024,11415.8104138978
1478,E05001721,Scartho, ,526403,405759,-0.09433,53.53329849,3274982.72680299,10172.1394804321
1479,E05001722,Sidney Sussex, ,529404,409687,-0.04746,53.56785965,1920990.6039647,6738.44817595633
1480,E05001723,South, ,525316,407867,-0.10988,53.55250168,2866072.60765023,8712.14545873737
1481,E05001724,Waltham, ,525609,401767,-0.1079,53.49763107,17418648.5849417,22191.8766081448
1482,E05001725,West Marsh, ,526292,410274,-0.09419,53.57389069,3655497.53322214,9471.37010288354
1483,E05001726,Wolds, ,522769,402989,-0.15020999,53.50928116,81113372.0879337,60851.0747408204
1484,E05001727,Yarborough, ,524601,408677,-0.12034,53.55995178,2921706.96334688,9130.01087635811
1485,E05001728,Ashby, ,490777,408354,-0.63089001,53.56396866,3098378.31256009,10600.9701959693
1486,E05001729,Axholme Central, ,477601,406576,-0.83021998,53.55010986,60534033.0842042,39136.7438143777
1487,E05001730,Axholme North, ,479880,414908,-0.79369998,53.62464142,93235343.9879761,53096.9543381852
1488,E05001731,Axholme South, ,476948,402185,-0.84114999,53.51073837,79181914.6466049,58621.6904638518
1489,E05001732,Barton, ,502657,420258,-0.44768,53.66873932,25628496.0966028,21714.4788127639
1490,E05001733,Bottesford, ,487854,406979,-0.67540002,53.55212021,7193934.77564218,12868.4095475051
1491,E05001734,Brigg and Wolds, ,501409,414329,-0.46849,53.61571884,97509283.3820896,56556.2810169921
1492,E05001735,Broughton and Appleby, ,494999,412527,-0.56590003,53.6007309,68077045.880518,42779.9641909838
1493,E05001736,Brumby, ,488029,408406,-0.67236,53.56491089,3475687.51547142,10514.5955947871
1494,E05001737,Burringham and Gunness, ,485192,409601,-0.71485001,53.57611847,16462678.1258949,20315.2968252839
1495,E05001738,Burton upon Stather and Winterton, ,491698,418281,-0.61408001,53.65301895,82373797.129765,58504.5772960238
1496,E05001739,Crosby and Park, ,488865,412975,-0.65843999,53.60583115,8076771.98923905,13234.2337315804
1497,E05001740,Ferry, ,510786,417275,-0.32576001,53.64028931,140876260.369409,58274.6956449094
1498,E05001741,Frodingham, ,491116,410157,-0.62524998,53.58012009,10250109.6669221,15721.4674610353
1499,E05001742,Kingsway with Lincoln Gardens, ,488899,409638,-0.65888,53.57582855,3654324.88963294,10034.0093862265
1500,E05001743,Ridge, ,494629,402096,-0.57463998,53.507061,141492257.824922,74685.3853733762
1501,E05001744,Town, ,491032,412202,-0.62593001,53.59851074,5176289.5287566,14011.5564635462
1502,E05001767,Abbey, ,433861,335231,-1.49790001,52.91345978,2601904.81791158,8102.18735517557
1503,E05001768,Allestree, ,434108,339558,-1.49377,52.95233917,6476769.80710696,14617.7245823621
1504,E05001769,Alvaston, ,438006,334096,-1.43640006,52.9029808,7025643.98178235,14324.3079271353
1505,E05001770,Arboretum, ,435300,335504,-1.47646999,52.91582108,3409932.49788246,9248.89667316165
1506,E05001771,Blagreaves, ,433331,332950,-1.50601006,52.89299011,3355556.77454882,9704.4321011418
1507,E05001772,Boulton, ,438119,332388,-1.43491995,52.88761902,3199932.08810573,8384.15711656018
1508,E05001773,Chaddesden, ,438276,336640,-1.43208003,52.92583084,3892324.53049665,9201.41940203157
1509,E05001774,Chellaston, ,437387,330775,-1.44597995,52.87316895,5091332.49132647,11653.9316879116
1510,E05001775,Darley, ,434822,337883,-1.48333001,52.93722916,5152606.20446457,10829.6724577186
1511,E05001776,Derwent, ,436864,337240,-1.45301998,52.93132019,5131243.32792194,10910.5262257995
1512,E05001777,Littleover, ,432150,333828,-1.52348006,52.90095139,5475985.12450386,13712.4851987443
1513,E05001778,Mackworth, ,432667,336691,-1.51550996,52.926651,2860570.06549891,8308.32967771535
1514,E05001779,Mickleover, ,431322,335072,-1.53567004,52.91218185,4393702.94799146,9447.5467625168
1515,E05001780,Normanton, ,434915,333757,-1.48238003,52.90013885,2267375.94347942,7838.75175564934
1516,E05001781,Oakwood, ,438255,338598,-1.43217003,52.94343185,2854994.39996281,8669.61680649723
1517,E05001782,Sinfin, ,435253,331817,-1.47757006,52.88267899,6870889.54571025,12833.5257910002
1518,E05001783,Spondon, ,439642,335670,-1.41188002,52.91701126,7970358.79221037,13626.6633338652
1519,E05001806,Braunston and Belton, ,484186,303490,-0.75779998,52.62266922,45859919.3808263,42994.4076378085
1520,E05001807,Cottesmore, ,488405,315468,-0.69229001,52.72964859,26809988.9378204,31670.7149707025
1521,E05001808,Exton, ,490346,309128,-0.66529,52.67235184,57935462.8539263,52800.5660255335
1522,E05001809,Greetham, ,495210,315371,-0.59157997,52.72763062,42842074.7554719,38323.9141748904
1523,E05001810,Ketton, ,496846,303140,-0.57094997,52.6174202,31466472.621278,47664.7678019137
1524,E05001811,Langham, ,484328,311157,-0.75375003,52.69155884,11817891.3561809,17834.8785266713
1525,E05001812,Lyddington, ,488123,297249,-0.70131999,52.56595993,35316306.8166334,39015.1507738462
1526,E05001813,Martinsthorpe, ,489243,303671,-0.68307,52.62348938,24007865.6543876,36957.190351854
1527,E05001814,Normanton, ,493881,305463,-0.61407,52.6388092,44173181.6157348,46243.4275994576
1528,E05001815,Oakham North East, ,486226,309432,-0.72613001,52.67575836,1286642.39669611,5331.00359994938
1529,E05001816,Oakham North West, ,484022,309061,-0.75880998,52.67277145,7740786.47665555,15311.7695213462
1530,E05001817,Oakham South East, ,486685,308600,-0.71956003,52.66820908,1749014.85064595,6888.83112964201
1531,E05001818,Oakham South West, ,485636,307611,-0.73531997,52.65948105,2336904.56817053,7682.67510650921
1532,E05001819,Ryhall and Casterton, ,501486,310897,-0.50006002,52.6862793,36323832.9636923,34522.8313751546
1533,E05001820,Uppingham, ,486014,299171,-0.73193002,52.58356857,7780610.9065854,15691.8217550416
1534,E05001821,Whissendine, ,482364,314599,-0.78193998,52.72280121,16301954.2595106,22174.7615894362
1535,E05001822,Arboretum, ,456415,340819,-1.16156995,52.96179962,1755469.07369278,6443.25917367007
1536,E05001823,Aspley, ,453198,342725,-1.20913994,52.97925186,2819089.47891233,8001.05205559475
1537,E05001824,Basford, ,455041,343290,-1.18159997,52.98414993,3779721.34076291,9825.40224147898
1538,E05001825,Berridge, ,456207,342414,-1.16438997,52.97615051,2457866.22073964,6457.07516229322
1539,E05001826,Bestwood, ,456379,345188,-1.16134,53.00106812,2942741.03517631,8853.96841933875
1540,E05001827,Bilborough, ,452334,341377,-1.22222996,52.96722031,5119392.60122424,13988.5264469229
1541,E05001828,Bridge, ,457097,338624,-1.15180004,52.9419899,4525446.30200799,11730.7625857154
1542,E05001829,Bulwell, ,453510,345382,-1.20405996,53.00310898,5367376.38444151,12366.0368647422
1543,E05001830,Bulwell Forest, ,455067,345590,-1.18081999,53.00482178,3313648.92284781,8654.46649606606
1544,E05001831,Clifton North, ,455707,335334,-1.17305005,52.91257095,4604278.16909928,11992.9969882338
1545,E05001832,Clifton South, ,454734,334015,-1.18772995,52.90081024,4350878.56700049,11038.3926962429
1546,E05001833,Dales, ,459895,339951,-1.10993004,52.95362091,5151748.14512851,11820.6151404328
1547,E05001834,Dunkirk and Lenton, ,455063,337575,-1.18224001,52.93278122,5212843.04112719,12814.930755487
1548,E05001835,Leen Valley, ,454208,341292,-1.19433999,52.96627045,3044910.43580846,9886.8479878428
1549,E05001836,Mapperley, ,458125,342181,-1.13586998,52.97386169,3610748.35784661,11623.766603281
1550,E05001837,Radford and Park, ,455588,340264,-1.17396998,52.95689011,2407637.18532604,8107.63237184815
1551,E05001838,St Ann's, ,458164,340631,-1.13557005,52.95991898,2542153.79240598,8361.84083714607
1552,E05001839,Sherwood, ,457321,343731,-1.14757001,52.98786926,3188500.06902908,10586.0422797354
1553,E05001840,Wollaton East and Lenton Abbey, ,453989,338299,-1.19809997,52.93938828,2877493.70881934,9418.67795336306
1554,E05001841,Wollaton West, ,452418,339432,-1.22128999,52.94972992,5541619.79988195,10486.6538068244
1555,E05001935,Abbey, ,375104,164970,-2.35911989,51.38322067,953327.138995565,4589.3280087889
1556,E05001936,Bathavon North, ,374723,168974,-2.3648901,51.4192009,47547985.7041333,52749.9851281739
1557,E05001937,Bathavon South, ,375767,158975,-2.34919,51.32934189,35179793.3324525,44168.9742609435
1558,E05001938,Bathavon West, ,370878,162323,-2.41963005,51.3592186,35621156.9417638,40749.985667056
1559,E05001939,Bathwick, ,376785,164527,-2.33493996,51.37931061,3277304.56847097,11662.3853248388
1560,E05001940,Chew Valley North, ,357693,163170,-2.60909009,51.36600113,28945890.3092096,43987.6842237816
1561,E05001941,Chew Valley South, ,358978,160399,-2.5903101,51.34117889,28657847.3899205,51708.2171278856
1562,E05001942,Clutton, ,361639,161072,-2.55218005,51.34741974,18069621.9894436,29581.4474838809
1563,E05001943,Combe Down, ,375965,162621,-2.34659004,51.36212921,2732048.01865313,12052.2753380504
1564,E05001944,Farmborough, ,366081,162891,-2.48857999,51.36405945,36309227.5119119,41528.3969035005
1565,E05001945,High Littleton, ,363508,156263,-2.52484989,51.3042984,8420610.4979479,19853.3601882168
1566,E05001946,Keynsham East, ,366729,167849,-2.4797399,51.40866852,4857677.42222514,12726.0795380767
1567,E05001947,Keynsham North, ,364450,169049,-2.51261997,51.41931915,5291633.9890689,15092.8908213608
1568,E05001948,Keynsham South, ,364950,167598,-2.50529003,51.40631104,1993590.8651282,6869.68692038583
1569,E05001949,Kingsmead, ,373865,165212,-2.37695003,51.38534164,1296450.13051333,6972.09726534893
1570,E05001950,Lambridge, ,376066,166719,-2.34541988,51.39899063,1741495.59177262,8342.13580478341
1571,E05001951,Lansdown, ,374197,166432,-2.37226009,51.39632034,2802420.58480792,10600.005475191
1572,E05001952,Lyncombe, ,374439,162921,-2.36853004,51.36476135,2063772.00509965,8650.87948292878
1573,E05001953,Mendip, ,358194,156644,-2.60112,51.3073616,25874330.2288773,28588.3607877007
1574,E05001954,Midsomer Norton North, ,366679,154859,-2.47923994,51.29187012,3075752.37510811,8914.269562476
1575,E05001955,Midsomer Norton Redfield, ,365896,153589,-2.49033999,51.28041077,2103559.49240285,7489.18366559741
1576,E05001956,Newbridge, ,372516,165618,-2.39635992,51.38891983,1864097.03070993,6448.53038150879
1577,E05001957,Odd Down, ,373320,162606,-2.3845799,51.36188126,1299287.69311746,7665.58529603318
1578,E05001958,Oldfield, ,373707,163780,-2.3791101,51.37245178,961875.06859069,6008.84441544647
1579,E05001959,Paulton, ,366197,156231,-2.48627996,51.30418015,6513084.81787846,14172.3980971485
1580,E05001960,Peasedown, ,370225,157029,-2.42857003,51.31158066,4808058.87878963,10188.3237665847
1581,E05001961,Publow and Whitchurch, ,362316,165219,-2.54290009,51.38475037,10403260.8259857,27556.6415381764
1582,E05001962,Radstock, ,368934,154784,-2.44689012,51.2913208,6113455.86957718,17641.5666781003
1583,E05001963,Saltford, ,368048,167165,-2.46071005,51.40259933,5560086.57639013,13022.4995543565
1584,E05001964,Southdown, ,372375,163552,-2.39823008,51.37033844,1348852.52282223,6660.31707870732
1585,E05001965,Timsbury, ,366572,158715,-2.48112988,51.3265419,4709231.3637944,10054.6456235812
1586,E05001966,Twerton, ,372170,164651,-2.4012599,51.38021088,1545016.15408616,6283.40122644558
1587,E05001967,Walcot, ,375667,166000,-2.35110998,51.39250183,869320.00293665,4754.89657497019
1588,E05001968,Westfield, ,367651,153810,-2.46519995,51.28250122,2391830.94715329,8571.35935620232
1589,E05001969,Westmoreland, ,373477,164445,-2.38246012,51.37842178,937467.16545619,5597.51204097629
1590,E05001970,Weston, ,372990,166931,-2.38965011,51.40074921,1973770.59075192,8555.09694770096
1591,E05001971,Widcombe, ,375855,163834,-2.34825993,51.37303925,3009020.20132412,12206.8878714387
1592,E05002043,Almondsbury, ,357609,182562,-2.61262989,51.54035187,24265583.3065365,35150.718490556
1593,E05002044,Bitton, ,369158,170104,-2.44500995,51.42908859,11501113.8330798,19311.9691811402
1594,E05002045,Boyd Valley, ,374539,174103,-2.36789989,51.46530914,71624068.8203279,58090.0780012044
1595,E05002046,Bradley Stoke Central and Stoke Lodge, ,361657,182154,-2.55421996,51.53696823,1944255.55507038,7772.15082224477
