objectid,wd17cd,wd17nm,wd17nmw,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
7832,W05000055,Clynnog,Clynnog,244636,348656,-4.31727982,53.01261139,45511301.122589,45030.5814922556
7833,W05000056,Corris/Mawddwy,Corris/Mawddwy,283089,312712,-3.73153996,52.69942856,165066070.02558,90330.8023561122
7834,W05000057,Criccieth,Cricieth,250701,339000,-4.22249985,52.92760086,6717076.86672223,18980.2042197251
7835,W05000058,Cwm-y-Glo,Cwm-y-Glo,253134,362385,-4.19699001,53.13832855,13830793.9235068,19574.7343962518
7836,W05000059,Deiniol,Deiniol,258033,371809,-4.12799978,53.22431183,530765.51449671,3886.59100018995
7837,W05000060,Deiniolen,Deiniolen,259244,362402,-4.10573006,53.14012909,17989422.4499833,20486.3265941753
7838,W05000061,Dewi,Dewi,256432,370460,-4.15135002,53.2117691,1098306.89663196,5572.04180185365
7839,W05000062,Diffwys and Maenofferen,Diffwys a Maenofferen,270941,346030,-3.92440009,52.99600983,2611883.85964359,9284.47760731881
7840,W05000063,Dolbenmaen,Dolbenmaen,251062,344685,-4.21974993,52.97877121,86060536.0144893,55672.8152526882
7841,W05000064,Dolgellau North,Dolgellau - Gogledd,273170,316285,-3.87962008,52.72930145,32619058.7145881,42088.9086891922
7842,W05000065,Dolgellau South,Dolgellau - De,272654,317379,-3.88768005,52.73900986,2382064.62538393,10781.4334561252
7843,W05000066,Dyffryn Ardudwy,Dyffryn Ardudwy,261109,321663,-4.06039,52.77465057,45555139.84297,35452.7107165973
7844,W05000067,Efail-newydd/Buan,Efail-Newydd/Buan,232398,337088,-4.4935298,52.9050293,55711158.1021613,48343.7404304678
7845,W05000068,Garth,Garth,258173,372735,-4.12630987,53.23266983,487798.105965945,4111.07538455688
7846,W05000069,Gerlan,Gerlan,262907,367158,-4.05304003,53.18381119,2629264.15121103,11964.7723799888
7847,W05000070,Glyder,Glyder,256303,371255,-4.15363979,53.21886826,979703.14061305,5067.16665025192
7848,W05000071,Groeslon,Y Groeslon,246367,355680,-4.29485989,53.07619858,20613738.6065986,31050.3652288379
7849,W05000072,Harlech,Harlech,261050,334973,-4.06692982,52.89421082,58470896.9642204,48366.4799078062
7850,W05000073,Hendre,Hendre,257697,371189,-4.13275003,53.21865082,997735.80470748,5578.29166744368
7851,W05000074,Hirael,Hirael,258701,372546,-4.11833,53.23110962,337156.604619415,3078.2513542209
7852,W05000075,Llanaelhaearn,Llanaelhaearn,237975,343765,-4.41403008,52.96670914,48104464.5847812,40746.8768536399
7853,W05000076,Llanbedr,Llanbedr,262010,329052,-4.05015993,52.841259,68343891.5431738,50244.2062824769
7854,W05000077,Llanbedrog,Llanbedrog,232650,332276,-4.48730993,52.86188889,9282885.04530445,16539.4534710759
7855,W05000078,Llanberis,Llanberis,259502,358731,-4.10025978,53.10723114,46188378.4848563,36215.438188642
7856,W05000079,Llandderfel,Llandderfel,289668,339492,-3.64328003,52.94144821,202618742.037689,94988.7557106918
7857,W05000080,Llanengan,Llanengan,229752,328038,-4.52810001,52.82292175,27797997.6018758,41717.1863471766
7858,W05000081,Llangelynin,Llangelynnin,263639,312414,-4.01906013,52.69219971,82847543.8684532,64837.7445643253
7859,W05000082,Llanllyfni,Llanllyfni,250542,351457,-4.23061991,53.0394516,33231275.9926462,33191.921464898
7860,W05000083,Llanrug,Llanrug,253623,363583,-4.19022989,53.14923096,1883047.55855326,6837.98346413462
7861,W05000084,Llanuwchllyn,Llanuwchllyn,289936,329578,-3.63593006,52.85242081,194878671.367586,85495.7323676743
7862,W05000085,Llanwnda,Llanwnda,248274,357858,-4.26743984,53.09630966,15737004.2564641,22324.119365274
7863,W05000086,Llanystumdwy,Llanystumdwy,245125,340487,-4.30608988,52.93938065,60085572.553432,43797.4858983383
7864,W05000087,Marchog,Marchog,258737,371664,-4.11740017,53.22320175,1051638.71560163,4962.34211969847
7865,W05000088,Menai (Bangor),Menai (Bangor),257220,372132,-4.14030981,53.22700119,996522.3421468,5243.03335377245
7866,W05000089,Menai (Caernarfon),Menai (Caernarfon),249069,363977,-4.25846004,53.1515007,2532138.44836548,10420.6503260084
7867,W05000090,Morfa Nefyn,Morfa Nefyn,227920,340127,-4.5616498,52.9309082,10127318.1596314,21396.5491499277
7868,W05000091,Nefyn,Nefyn,231525,340229,-4.50813007,52.93296814,5108191.74289543,14218.511415793
7869,W05000092,Ogwen,Ogwen,262067,367007,-4.06553984,53.18223953,1267033.82808722,6777.9675079935
7870,W05000093,Peblig (Caernarfon),Peblig (Caernarfon),249137,362459,-4.25673008,53.13787842,1003903.99550603,5329.96264614101
7871,W05000094,Penisarwaun,Penisa'r-waun,256428,365215,-4.14905024,53.16464996,13911355.4158137,25381.6290282672
7872,W05000095,Penrhyndeudraeth,Penrhyndeudraeth,262191,341915,-4.05292988,52.95685959,41327431.7987127,46690.4655047798
7873,W05000096,Pentir,Pentir,255759,368676,-4.16062021,53.19556046,18875685.3913664,26339.5474674598
7874,W05000097,Penygroes,Pen-y-groes,246060,353127,-4.29821014,53.05318069,7300281.6522316,14147.365127216
7875,W05000098,Porthmadog East,Porthmadog - Dwyrain,257640,339292,-4.11948013,52.93210983,4524703.32846113,13041.9526593191
7876,W05000099,Porthmadog West,Porthmadog - Gorllewin,255201,338079,-4.1552,52.92055893,8664668.18566387,19623.575838076
7877,W05000100,Porthmadog-Tremadog,Porthmadog - Tremadog,260995,348045,-4.07335997,53.01161957,99224648.1025027,69401.5926905458
7878,W05000101,Pwllheli North,Pwllheli - Gogledd,237415,335537,-4.41823006,52.89263916,3845432.68161777,11250.2118514746
7879,W05000102,Pwllheli South,Pwllheli - De,236706,334152,-4.42807007,52.87998962,1603738.49051175,11558.5265595828
7880,W05000103,Seiont,Seiont,247744,361574,-4.2771101,53.12953949,3697863.70856952,11521.1955746101
7881,W05000104,Talysarn,Talysarn,250752,354535,-4.22891998,53.06716156,11548054.7598296,22577.2967903524
7882,W05000105,Teigl,Teigl,272569,343283,-3.89908004,52.97172165,28351530.3292128,26981.1038025518
7883,W05000106,Trawsfynydd,Trawsfynydd,271710,334761,-3.90848994,52.89495087,163368327.428714,81458.7613182683
7884,W05000107,Tregarth & Mynydd Llandygai,Tregarth & Mynydd Llandygai,261485,364924,-4.07333994,53.16337967,27931988.7460064,34079.1564331894
